month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零_去季节性,CPI,PPI,失业率差分,逆回购7天(19日),银行间7天回购(20-19均值)
2012-12,,-0.18695834714483617,0.8526304823238957,0.6904225151800124,0.3216800263332811,0.8283634295868625,-0.39452115626684453,-0.600729102812203,,0.512244049270218,-0.1626236541798129
2013-01,0.8556615182368337,-0.05314434084401743,1.3566382917987183,0.7506564519368789,,0.9563766039807822,0.0008471754928781343,-0.5340953231609029,,0.512244049270218,0.34815363169552915
2013-02,,-0.16022973219743517,1.558241415588643,2.979312111940928,,,-0.37040368802950147,-0.4572101927940183,,0.512244049270218,0.027650104525776025
2013-03,,-0.46313950745463156,0.2478211109541072,-1.6888179867162023,-3.957672998276976,0.6947437058748676,0.5700194258941751,-0.45464735511512216,,0.512244049270218,0.15683191942602853
2013-04,0.6990698678405508,-0.6795067564585118,0.5502257966389978,0.3290188946388154,-0.8808885366364173,0.37505651017211505,-0.33948588448589123,-0.5289696478031106,,0.512244049270218,-0.06626813250137249
2013-05,,-0.09046577629527898,-0.8609960698905038,0.4494867681525479,0.15110292520282745,0.5821422533131455,-0.08921773048198678,-0.7083682853258415,,0.512244049270218,0.11486154083387035
2013-06,,0.3952361280856334,-1.0625991936804358,0.41936979977411437,-0.223709977095894,0.47957738501856245,-0.3169498895755869,-0.7724392272982453,,0.512244049270218,2.689924039396219
2013-07,0.4641823922461253,-0.5403191962531014,-0.7601945079955379,0.3290188946388154,0.04786411984289009,0.4826635339040425,0.1340072296295528,-0.7288709867570107,,0.512244049270218,2.6963050218597777
2013-08,,-0.4742655561554217,-0.3569882604156813,0.5699546416662798,0.5887694380619691,0.6423973677901441,0.13851442861161367,-0.618668966564476,,1.301187194854465,1.1492655534933476
2013-09,,0.36404753295039743,-0.8609960698905038,0.7807734203153118,1.6201982086888598,0.5559795196001067,0.05351023728327336,-0.4520845174362261,,1.301187194854465,0.7737355313457331
2013-10,0.6990698678405508,0.21417650468411634,0.5502257966389978,0.7205394835584453,0.9229643078181304,0.4578839844621034,0.43725474008925985,-0.38032506242713376,,1.301187194854465,1.0583637159371713
2013-11,,0.9228731095795772,1.457439853693677,0.7506564519368789,0.7374617103387618,0.5764070600026739,0.5589491126049027,-0.42389330296836836,,1.5880756114305545,1.6182850347851658
2013-12,,0.7107230232132051,0.7518289204289298,0.6603055468015794,0.5071826238126493,0.5670118222289515,0.41044876719595064,-0.40082776385830293,,1.5880756114305545,1.938063742058349
2014-01,0.5424782174442674,0.39569634433499523,-0.8609960698905038,0.5699546416662798,,0.6016254468025728,-0.000180782169697207,-0.38545073778492606,,1.5880756114305545,2.504469664691614
2014-02,,-0.04801956090267801,-1.869011688840149,0.2085510211250829,,,-0.010144064130042174,-0.4572101927940183,,1.5880756114305545,2.1623724069169112
2014-03,,-0.3509293361598824,0.4494242347440319,0.2989019262603824,1.6343349991664224,0.5893604402456162,-0.4331881791129453,-0.5494723492342799,,1.5880756114305545,-0.2670124656151794
2014-04,0.4641823922461253,-1.3527677842270467,-0.5585913842056132,0.2989019262603824,0.24065590329631562,0.2952618889490738,-0.09024568814456212,-0.6268444187601547,,1.5880756114305545,0.5128599210643282
2014-05,,-0.3148861188847933,0.0462179871641753,0.2687849578819489,-0.3115874616135282,0.3906941397577272,-0.5515614576418064,-0.5505487410594163,,1.5880756114305545,0.21422009575915502
2014-06,,0.3952361280856334,1.0542336061138204,0.2989019262603824,-0.16446471188851197,0.395794473910945,-0.017102546769013228,-0.4075936553305888,,1.5880756114305545,0.008077188202482077
2014-07,0.5424782174442674,0.46957234539969706,0.14701954905914125,0.41936979977411437,-0.045060741097194275,0.28654379104753447,-0.1287545636579589,-0.3211747687982105,,1.5880756114305545,0.6113302176098842
2014-08,,1.0966768419711705,-0.15538513662574943,0.35913586301724837,-0.6591383051668276,0.42276139244376526,-0.16900305983109862,-0.2595641509975469,,1.5880756114305545,0.6534434843519223
2014-09,,0.47625770424514663,0.2478211109541072,-0.27332047292984657,-1.6122378577332377,0.23032483061418,-0.40171685990487155,-0.34541921324056807,,1.5880756114305545,0.23145855471975196
2014-10,0.22929491665170046,0.21417650468411634,-0.8609960698905038,0.0579661792329174,-0.7124436492700944,0.07377783418581606,-0.6890705634278379,-0.49811308214920097,,1.5880756114305545,-0.15549350147077656
2014-11,,0.24961208181104225,-0.7601945079955379,-0.032384725902381846,-0.643649691162806,0.17744725705586234,-0.7099460113447513,-0.6116980480778785,,1.5880756114305545,-0.06356047957389128
2014-12,,-0.5235888610291076,-0.7601945079955379,-0.18296956779454734,-0.5946264719620429,0.12347310199323264,-0.8378872035021975,-0.7270257436282055,,1.5880756114305545,0.6276417752457449
2015-01,0.30759074184984253,-0.6141951973177953,-0.054583574730790646,0.027849210854484406,-0.4089769649543258,0.22228959099296658,-0.7854613627108582,-0.886536760762702,,1.5880756114305545,1.6690912437484897
2015-02,,-0.8334907599659701,-0.45778982231064724,0.5398376732878468,,,-1.3720298197095828,-1.1441019474917657,,1.2294650907104427,1.4701462463934678
2015-03,,-0.6875598500441539,-0.15538513662574943,-1.267180429418139,-2.6378326782800903,0.34316313716393854,-0.844371244143057,-1.2664518182822682,,0.9425766741343526,1.9470872005644047
2015-04,0.072703266255417,-1.577188126816553,-1.0625991936804358,-0.6648410618494771,-1.7538249199683975,-0.1472609126602759,-0.8880989816356823,-1.2056356801620622,,0.512244049270218,0.41434026212669284
2015-05,,-0.6515166327690568,-0.9617976317854698,-0.5744901567141776,-1.0200824362581373,-0.03813016763665896,-0.7826937843885401,-1.2087623421303155,,0.512244049270218,-1.0502333088527855
2015-06,,-0.27802489968289357,-1.3650038793653265,-0.5142562199573116,-0.9579635865608365,-0.13280891770717032,-1.002755797846002,-1.2176041321225075,,0.512244049270218,-1.3149884326028696
2015-07,0.072703266255417,-0.42810902495834424,-1.0625991936804358,-0.3034374413082798,-0.9192423713828471,-0.11165950505659487,-0.8761588580165386,-1.2705267301917131,,-0.707031721178164,-0.530601892033497
2015-08,,-0.8108960700396852,-0.5585913842056132,-0.5443731883357446,-1.5753539711557996,0.04375035566245045,-0.6734139774901529,-1.4129436200079724,,-0.707031721178164,-0.8869410601257359
2015-09,,-1.0946846938814216,-0.7601945079955379,-0.5142562199573116,-0.8886713300968707,-0.01557026882547622,-0.42978801145981177,-1.5547966855348743,,-0.9221980336102313,-0.9124811353200063
2015-10,-0.005592558942724385,-1.2445557221477108,-0.3569882604156813,-0.6347240934710439,-1.3271161009799202,-0.07424275130521164,-0.7142950629941083,-1.5548538368151137,,-0.9221980336102313,-0.96088896725475
2015-11,,-0.8724896311365133,-1.0625991936804358,-0.6648410618494771,-1.346240352673161,0.06717108609122997,-0.9738148359611901,-1.5489790440037803,,-1.0656422418982765,-0.9992292533045846
2015-12,,-1.3090600600923918,-0.5585913842056132,-0.4841392515788783,-1.170475362233201,0.0018437854015314677,-0.8012760959812472,-1.5489790440037803,,-1.0656422418982765,-0.9685032154871851
2016-01,-0.08388838414086577,-1.0630358824968238,0.3486226728490731,-0.5744901567141776,-1.753617489684568,0.0473267637116199,-0.7108158216746225,-1.5489790440037803,,-1.0656422418982765,-0.9076454736401325
2016-02,,-1.2823314451449908,-0.659392946100572,-0.5848130487955694,,,-0.5526684889707335,-1.3952087832700109,,-1.0656422418982765,-0.9389224381015747
2016-03,,-1.6974513916969443,-1.1634007555753945,-0.8735706264020967,-0.4373061966886952,0.22915498402579118,-0.15730015721101107,-1.2926952761141648,,-1.0656422418982765,-0.9743419280930341
2016-04,-0.16218420933900785,-1.464977955521788,-0.25618669852071535,-0.3034374413082798,-0.09186986952528418,-0.09061868227152399,-0.15620024251205522,-1.1389250153803954,,-1.0656422418982765,-0.8785560704148224
