month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)
2007-03,,3.363082801605678,,1.998997094673046,,1.7725147333969142,2.099490484312751,0.7344717904594075,0.5095330282698266,,1.345384361779207,-1.7183531959447167
2007-04,6.54889536984412,5.8344223320030855,,1.2071696655287816,,1.3721930716437434,-0.2603487758265495,1.4286109617970064,0.5323697010318336,,1.345384361779207,-1.021661629267639
2007-05,,10.081322096733386,,1.2071696655287816,,1.3721930716437434,1.2340173174836448,1.0815413761282069,0.5780430465558474,,1.345384361779207,-0.27188679372433755
2007-06,,6.5704174545478224,,1.2071696655287816,,1.3721930716437434,0.18461006865724214,1.5443008236866065,0.5552063737938404,,1.345384361779207,-0.3090353427158984
2007-07,7.785596641402665,4.880970379354956,,1.2071696655287816,,1.3721930716437434,0.0009105718729038885,2.701199442582606,0.4844126882316189,,1.345384361779207,-0.42843357900442064
2007-08,,3.3472969098008543,,1.2071696655287816,,1.3721930716437434,2.5950848107680566,2.816889304472206,0.46385968274581263,,1.345384361779207,-1.1386631491039194
2007-09,,4.308441957178111,,1.2071696655287816,,1.3721930716437434,0.6677597908975257,2.816889304472206,0.5095330282698266,,1.345384361779207,0.3423024476661239
2007-10,7.11968057210191,6.679909075453512,,1.2071696655287816,,1.3721930716437434,0.2983416049643758,2.816889304472206,0.5323697010318336,,1.345384361779207,0.23645826704546213
2007-11,,3.3506568206844123,,1.2071696655287816,,1.3721930716437434,1.7721430738327673,2.816889304472206,0.6465530648418683,,1.345384361779207,1.1256125479265622
2007-12,,5.631223726668708,,1.2071696655287816,,1.3721930716437434,1.499104253539862,2.816889304472206,0.954848147128962,,1.345384361779207,0.2731807670910694
2008-01,6.8342879709730155,5.9831167343632545,,1.2071696655287816,,1.3721930716437434,0.44865520809688275,2.816889304472206,1.1558108674346232,,1.345384361779207,-0.7090723672151142
2008-02,,3.2305541722353817,,3.0136958597091787,,2.8369384805244873,,5.824825713601804,1.3088165749400698,,1.345384361779207,-0.05404817616533463
2008-03,,3.7367488593217755,,3.0136958597091787,,2.3221325627588696,2.1399477115684697,7.6758635038354015,1.427567273302506,,1.345384361779207,-0.18218281007944034
2008-04,4.646278028984818,8.699195441159786,,1.2071696655287816,,1.3721930716437434,-0.23725908706677595,2.816889304472206,1.7312950210371985,,1.345384361779207,-0.24035736466465682
2008-05,,10.828654212165572,,1.2071696655287816,,1.3721930716437434,1.210754600127148,2.816889304472206,1.7701173647326098,,1.345384361779207,0.067651975472285
2008-06,,3.5810889928190806,,1.2071696655287816,,1.3721930716437434,0.10589145228205366,2.816889304472206,1.7929540374946171,,1.345384361779207,0.522852677656199
2008-07,4.075492826727028,1.7670865650541903,,1.2071696655287816,,1.3721930716437434,0.051479160782147884,2.816889304472206,1.93454140861906,,1.345384361779207,0.04691207958874698
2008-08,,-2.755915366228644,,1.2071696655287816,,1.3721930716437434,2.7328412484773876,2.816889304472206,2.2062978144869425,,1.345384361779207,0.3080739672578056
2008-09,,-2.6666577868556054,,1.2071696655287816,,1.3721930716437434,0.7044273253743943,2.816889304472206,2.213148816315545,,1.345384361779207,0.03647714701982275
2008-10,2.648529821082551,0.5766967994240133,,1.2071696655287816,,1.3721930716437434,0.5041289142300663,2.816889304472206,2.0007677596288804,,1.345384361779207,0.38341290434367253
2008-11,,-7.3611035005102226,,0.40447046390198094,,1.3721930716437434,1.4652992014667316,2.238439995024206,1.420716271473904,,1.345384361779207,-0.23725061297067587
2008-12,,-15.044964800288376,,-0.6102283011341509,,1.3721930716437434,1.389093123259642,0.3874022047906074,0.3702293244215842,,1.345384361779207,-1.4028510268233692
2009-01,0.3653890120513884,-11.579187978293055,,-0.5015105763088511,,1.3721930716437434,0.6215617154039537,-1.0008761378845916,-0.3445585330292333,,1.345384361779207,-2.5360633805106225
2009-02,,-6.3602079758109795,,-3.6289571271166445,,2.175045157682978,,-1.2322558616637913,-0.8492490010695868,,1.345384361779207,-2.7012883588558925
2009-03,,-1.7436866538475788,,1.4191692289381135,,0.48353999931023267,2.2493501237229125,-4.240192270793389,-1.1050197360040646,,1.345384361779207,-1.7183531959447167
2009-04,-0.30052705724936657,1.225874286837949,,0.4407097055104147,,1.2434915922023355,-0.09156024929031405,-2.1658730471128624,-1.4368190069979987,,1.345384361779207,-1.7183531959447167
2009-05,,3.728999115559823,,0.07831728942608145,,1.2680061597149845,1.6272912977031138,-2.1658730471128624,-1.4368190069979987,,1.345384361779207,-1.7183531959447167
2009-06,,3.3319782876750157,,0.6581451551610144,,1.366064429765578,0.7477882868795681,-2.1658730471128624,-1.4368190069979987,,1.345384361779207,-1.7183531959447167
2009-07,1.4118285495240042,3.261750795918552,,1.2071696655287816,,1.3170352947402812,0.3309192340538736,-2.1658730471128624,-1.4368190069979987,,1.345384361779207,-1.7183531959447167
2009-08,,3.3472969098008543,,1.2071696655287816,0.006816037219828784,1.366064429765578,2.7675430104368495,-2.1658730471128624,-1.4368190069979987,,1.345384361779207,-1.7183531959447167
2009-09,,4.308441957178111,,1.2071696655287816,0.46450034870775947,1.3721930716437434,0.9737812476495237,-2.1658730471128624,-1.4368190069979987,,1.345384361779207,-1.7183531959447167
2009-10,3.694969358555167,4.437912729156946,,1.2071696655287816,0.8809518393409214,1.3721930716437434,0.7965695519760615,-2.1658730471128624,-1.4368190069979987,,1.345384361779207,-1.7183531959447167
2009-11,,5.841763872125025,,1.2071696655287816,1.8642103018541587,1.3721930716437434,1.8170561038504003,-2.1658730471128624,-1.4201658201197602,,1.345384361779207,-1.7183531959447167
2009-12,,5.382113021524652,,1.2071696655287816,1.8642103018541587,1.3721930716437434,1.4110326897885297,-1.695015309222191,-0.5592232569920986,,1.345384361779207,-1.7183531959447167
2010-01,4.931670630113714,7.602336317799658,,1.2071696655287816,,1.3721930716437434,0.70974768410376,-0.19104710465739222,0.304002973411764,,1.345384361779207,-2.0402466608337444
2010-02,,6.718104044252236,,8.014711201672974,,1.0718896196137964,,-0.6538065522157918,0.9023237997763461,,1.345384361779207,-1.3821991208200226
