month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)
2023-09,5.0,49.86933494385427,50.9,4.5,9.89,5.5,-28.091829469377938,0.0,-2.5,0.06337964143551747,1.8,2.0529193548387092
2023-10,,49.396425120212776,50.1,4.6,8.39,7.6,-23.41362208473317,-0.2,-2.6,0.1781144784590168,1.8,2.2680733333333336
2023-11,,48.92739172172068,49.3,6.6,11.597037,10.1,-23.3755325324621,-0.5,-3.0,0.1661194133169519,1.8,2.3371774193548394
2023-12,5.3,48.90991109999553,49.3,6.8,10.0,7.4,-33.49186791117645,-0.3,-2.7,0.16981630904111214,1.8,2.3918166666666663
2024-01,,49.2,50.1,26.3,,,,-0.8,-2.5,0.1000000000000005,1.8,2.3835096774193545
2024-02,,49.10640139233973,51.0,-12.7,,5.5,6.509504134249777,0.7,-2.7,0.15099228775815562,1.8,2.093164516129033
2024-03,5.3,49.79053092139246,52.4,4.5,7.36,3.1,-51.31810367950139,0.1,-2.8,0.1135621292868456,1.8,2.0196965517241376
2024-04,,50.30017946481761,50.3,6.7,6.96,2.3,-30.610344291755545,0.3,-2.5,0.06561169195617114,1.8,2.1012548387096777
2024-05,,49.48142894973621,50.5,5.6,7.22,3.7,-23.233873725720663,0.3,-1.4,0.20976170549940487,1.8,1.9355800000000003
2024-06,4.7,49.325046393461996,50.2,5.3,5.83,2.0,-0.5347744593592978,0.2,-0.8,0.16625101296369818,1.8,1.8586032258064518
2024-07,,49.19372759592805,50.0,5.1,5.69,2.7,-6.070655390987426,0.5,-0.8,0.20935192825474624,1.8,2.006973333333333
2024-08,,48.96538857037026,50.2,4.5,8.87,2.1,-26.87285238321737,0.6,-1.8,0.3544078737491445,1.7,1.885809677419355
2024-09,4.6,49.469334943854264,49.9,5.4,8.52,3.2,-9.034624753745607,0.4,-2.8,0.06337964143551747,1.7,1.870132258064516
2024-10,,49.99642512021278,50.1,5.3,4.33,4.8,-12.936222756721783,0.3,-2.9,0.07811447845901719,1.5,1.9104266666666665
2024-11,,49.82739172172068,50.1,5.4,2.79,3.0,-10.067290083131859,0.2,-2.5,0.1661194133169519,1.5,1.839409677419355
2024-12,5.4,50.009911099995534,52.0,6.2,3.18,3.7,-3.176879376460189,0.1,-2.3,0.16981630904111214,1.5,1.8481866666666666
2025-01,,49.1,50.3,-11.11,,,,0.5,-2.3,0.1000000000000005,1.5,2.1261741935483873
2025-02,,50.20640139233973,50.0,31.02,8.6,4.0,33.52973080199828,-0.7,-2.2,0.25099228775815613,1.5,2.075422580645161
2025-03,5.4,49.49053092139246,50.3,7.7,4.8041,5.9,-43.71349278508512,-0.1,-2.5,0.01356212928684511,1.5,2.015060714285714
2025-04,,48.90017946481761,50.1,6.1,4.6813,5.1,-22.210769076985258,-0.1,-2.7,0.16561169195617073,1.5,1.8902677419354834
2025-05,,49.48142894973621,50.2,5.8,4.4315,6.4,-30.584490908952773,-0.1,-3.3,0.10976170549940527,1.4,1.6950200000000002
2025-06,5.2,49.525046393462,50.1,6.8,5.421237,4.8,-12.239084020837648,0.1,-3.6,0.16625101296369818,1.4,1.6094064516129034
2025-07,,49.09372759592805,50.0,5.7,8.582166,3.7,-14.862727184852933,0.0,-3.6,0.20935192825474624,1.4,1.6211866666666666
2025-08,,49.265388570370256,50.5,5.2,4.990763,3.4,-34.78462600682438,-0.4,-2.9,0.3544078737491445,1.4,1.5225290322580645
2025-09,4.8,49.469334943854264,50.1,6.5,4.5367,3.0,-20.832326000552577,-0.3,-2.3,0.16337964143551797,1.4,1.4992870967741936
2025-10,,48.896425120212776,50.2,4.9,10.356738,2.9,-29.75314269778137,0.2,-2.1,0.07811447845901628,1.4,1.561713333333333
2025-11,,48.727391721720686,49.5,4.8,6.171445,1.3,-26.72750928483833,0.7,-2.2,0.1661194133169519,1.4,1.4996645161290325
2025-12,4.5,50.009911099995534,49.7,5.2,2.770855,0.9,-23.836963678587956,0.8,-1.9,0.06981630904111254,1.4,1.5052333333333334
2026-01,,49.3,49.5,6.3,,,,0.2,-1.4,0.1000000000000005,1.4,1.6336677419354835
2026-02,,49.006401392339725,49.7,6.3,,2.8,17.529831336596686,1.3,-0.9,0.15099228775815562,1.4,1.5295322580645165
2026-03,5.0,49.39053092139246,50.2,5.7,3.515013,1.7,-48.14121642689092,1.0,0.5,0.3135621292868457,1.4,1.4895535714285717
2026-04,,50.20017946481761,49.6,,,,,,,,1.4,1.4384838709677417
