month,GDP同比,制造业PMI一阶差分_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)
2016-03,6.8,0.9936619395980943,53.1,6.8,5.640467,10.5,4.481715629565869,2.301391,-4.3,,2.25,2.399079310344828
2016-04,,0.7916412287296294,52.5,6.0,1.885077,10.1,-2.1188587530004863,2.327865,-3.4,,2.25,2.4769064516129036
2016-05,,0.38186792445063933,52.0,6.0,2.053089,10.0,-1.3471527284594416,2.038999,-2.8,,2.25,2.5032799999999993
2016-06,6.7,0.14627345592315052,52.2,6.2,2.640878,10.6,2.92683640933069,1.879503,-2.6,,2.25,2.401606451612903
2016-07,,0.3094445990047029,52.6,6.0,8.168144,10.2,-0.46187980287644237,1.765113,-1.7,,2.25,2.4618399999999996
2016-08,,0.6431698870605675,52.7,6.3,8.279983,10.6,-21.217108547094192,1.339773,-0.8,,2.25,2.490638709677419
2016-09,6.7,-0.007267723487278702,52.3,6.1,6.871408,10.7,-12.268512126387662,1.920226,0.1,,2.25,2.481170967741935
2016-10,,1.3739264340866626,52.6,6.1,6.986335,10.0,-0.026068824638716848,2.095947,1.2,,2.25,2.529173333333333
2016-11,,0.5003083019136979,53.7,6.2,6.966866,10.8,-5.375422393048034,2.252258,3.3,,2.25,2.7168999999999994
2016-12,6.8,0.22589596669600492,53.2,6.0,6.879046,10.9,-3.2876448464519825,2.076545,5.5,,2.25,2.9143533333333336
2017-01,,-0.1000000000000014,53.5,2.93725,,,,2.549055,6.9,,2.25,2.778103225806452
2017-02,,0.5739977529889457,53.2,10.322581,17.212391,9.5,-46.125265528531074,0.8,7.8,,2.35,2.759290322580645
2017-03,7.0,-0.006338060401912815,54.2,7.6,7.892457,10.9,3.6028599762366227,0.9,7.6,,2.45,3.164078571428572
2017-04,,0.2916412287296365,52.6,6.5,6.023428,10.7,-5.077013231148356,1.2,6.4,,2.45,3.2884774193548383
2017-05,,0.38186792445063933,53.5,6.5,5.054293,10.7,-4.001937651511508,1.5,5.5,,2.45,3.5392000000000006
2017-06,7.0,0.7462734559231519,53.8,7.6,6.513623,11.0,4.635764405152187,1.5,5.5,,2.45,3.249845161290322
