month,sample,information_date,release_calendar_mode,target_quarter_end,target_gdp_release_date,target_gdp_released_by_information_date,monthly_release_lag_days,gdp_release_lag_days,latest_released_monthly_period,latest_released_gdp_quarter_end,is_information_month_quarter_end,months_before_quarter_end,model_loading_gdp_std,model_loading_gdp_raw,actual_gdp_raw,actual_gdp_std,macro_S_target_nowcast,real_S_target_nowcast,nominal_S_target_nowcast,nowcast_gdp_std,nowcast_gdp_raw,nowcast_error_raw,abs_error_raw,squared_error_raw
2015-12,train_diagnostics,2015-12-19,monthly_19th_information_set,2015-12,2016-01-19,False,19,19,2015-12,2015-10,True,0,-0.15466651500730888,6.809601654127374,6.9,-0.08388838414086577,-4.680206263979466,-53.89508407375418,-4.435284764524649,-0.15466651500730888,6.809601654127374,-0.09039834587262607,0.09039834587262607,0.008171860936506932
2016-01,train_diagnostics,2016-01-19,monthly_19th_information_set,2016-03,2016-04-19,False,19,19,2016-01,2016-01,False,2,-0.14131432641804992,6.826655166949378,6.8,-0.16218420933900785,-3.340574250158059,-35.69193342744438,-3.096901163735365,-0.14131432641804992,6.826655166949378,0.02665516694937775,0.02665516694937775,0.0007104979250992
2016-02,train_diagnostics,2016-02-19,monthly_19th_information_set,2016-03,2016-04-19,False,19,19,2016-02,2016-01,False,1,-0.47297593761334783,6.403054533893952,6.8,-0.16218420933900785,-5.784995472404408,-41.31096602372199,-2.242443611487875,-0.47297593761334783,6.403054533893952,-0.39694546610604764,0.39694546610604764,0.15756570306214743
2016-03,train_diagnostics,2016-03-19,monthly_19th_information_set,2016-03,2016-04-19,False,19,19,2016-03,2016-01,True,0,-0.03839802942750348,6.958100613408494,6.8,-0.16218420933900785,-4.79867717306972,-66.05215101640064,-1.0196986007187063,-0.03839802942750348,6.958100613408494,0.1581006134084939,0.1581006134084939,0.024995803960142043
2016-04,train_diagnostics,2016-04-19,monthly_19th_information_set,2016-06,2016-07-19,False,19,19,2016-04,2016-04,False,2,-0.4203404244503441,6.470280995879377,6.7,-0.24048003453714922,-5.304617390432432,-39.080345834941284,0.6520237991668526,-0.4203404244503441,6.470280995879377,-0.22971900412062318,0.22971900412062318,0.05277082085417089
2016-05,train_diagnostics,2016-05-19,monthly_19th_information_set,2016-06,2016-07-19,False,19,19,2016-05,2016-04,False,1,-0.21852689586060264,6.728038709115065,6.7,-0.24048003453714922,-3.693916152801149,-33.87557194630733,0.10632355068436902,-0.21852689586060264,6.728038709115065,0.028038709115064897,0.028038709115064897,0.0007861692088392233
2016-06,train_diagnostics,2016-06-19,monthly_19th_information_set,2016-06,2016-07-19,False,19,19,2016-06,2016-04,True,0,-0.2615018401199571,6.673150796316906,6.7,-0.24048003453714922,-3.860341021525909,-32.426677289762395,-0.983040952104539,-0.2615018401199571,6.673150796316906,-0.026849203683093847,0.026849203683093847,0.0007208797384162602
2016-07,train_diagnostics,2016-07-19,monthly_19th_information_set,2016-09,2016-10-19,False,19,19,2016-07,2016-07,False,2,-0.2033381663230202,6.7474378654546845,6.7,-0.24048003453714922,-2.978152303351057,-24.87298059771561,-2.213764948489411,-0.2033381663230202,6.7474378654546845,0.047437865454684314,0.047437865454684314,0.0022503510788967314
2016-08,train_diagnostics,2016-08-19,monthly_19th_information_set,2016-09,2016-10-19,False,19,19,2016-08,2016-07,False,1,-0.15524743630698906,6.808859697199006,6.7,-0.24048003453714922,-3.30429977913094,-33.91533060054465,-2.9130986610402725,-0.15524743630698906,6.808859697199006,0.1088596971990059,0.1088596971990059,0.011850433674259253
2016-09,train_diagnostics,2016-09-19,monthly_19th_information_set,2016-09,2016-10-19,False,19,19,2016-09,2016-07,True,0,-0.16426328086050684,6.797344594662311,6.7,-0.24048003453714922,-2.783672390734887,-25.56531147339833,-4.325860948834691,-0.16426328086050684,6.797344594662311,0.09734459466231105,0.09734459466231105,0.009475970109969636
2016-10,train_diagnostics,2016-10-19,monthly_19th_information_set,2016-12,2017-01-19,False,19,19,2016-10,2016-10,False,2,-0.2829118435850674,6.645805783462226,6.8,-0.16218420933900785,-2.7592555344439247,-14.556714681820878,-2.437644637409712,-0.2829118435850674,6.645805783462226,-0.15419421653777388,0.15419421653777388,0.0237758564136979
